PROCEDURE_CODE,DRUG_NAME_WITH_FORM_STRENGTH,DOSAGE_FORM,CLAIM_COUNT,CLAIMS_FREQUENCY_PERCENTAGE,DISTINCT_MEMBERS,MEMBER_PERCENTAGE,TOTAL_BENEFIT_AMOUNT,BENEFIT_PERCENTAGE
72888012526,Lidocaine Viscous HCl 2% Solution,SOLN,21,0.02%,21,0.04%,  502 ,0.00%
65162010150,Gabapentin 100MG Capsule,CAPS,18,0.02%,9,0.02%,  502 ,0.00%
42192060816,Gabapentin 250MG/5ML Solution,SOLN,6,0.01%,2,0.00%,  502 ,0.00%
68180096703,Levothyroxine Sodium 75MCG Tablet,TABS,26,0.02%,12,0.02%,  502 ,0.00%
67877069610,Chlorthalidone 25MG Tablet,TABS,21,0.02%,9,0.02%,  502 ,0.00%
68462013901,OXcarbazepine 600MG Tablet,TABS,9,0.01%,5,0.01%,  502 ,0.00%
43547031509,Valsartan-hydroCHLOROthiazide 320-25MG Tablet,TABS,24,0.02%,6,0.01%,  501 ,0.00%
72888003705,Carvedilol 25MG Tablet,TABS,38,0.03%,14,0.02%,  501 ,0.00%
72888008000,traMADol HCl 50MG Tablet,TABS,22,0.02%,11,0.02%,  501 ,0.00%
00378181510,Levothyroxine Sodium 150MCG Tablet,TABS,20,0.02%,11,0.02%,  501 ,0.00%
70010075405,Methocarbamol 500MG Tablet,TABS,13,0.01%,8,0.01%,  501 ,0.00%
65219025701,ePHEDrine Sulfate 50MG/ML Solution,SOLN,1,0.00%,1,0.00%,  501 ,0.00%
60505384901,Celecoxib 200MG Capsule,CAPS,4,0.00%,3,0.01%,  500 ,0.00%
00555057202,Methotrexate 2.5MG Tablet,TABS,12,0.01%,8,0.01%,  500 ,0.00%
16729044917,Levothyroxine Sodium 75MCG Tablet,TABS,26,0.02%,12,0.02%,  500 ,0.00%
70756081622,Capecitabine 500MG Tablet,TABS,6,0.01%,2,0.00%,  500 ,0.00%
68001033508,Lisinopril 20MG Tablet,TABS,48,0.04%,20,0.03%,  499 ,0.00%
68180094111,Testosterone 20.25 MG/ACT(1.62%) Gel,GEL,8,0.01%,3,0.01%,  499 ,0.00%
00002247101,Zepbound 10MG/0.5ML Solution Auto-injector,SOAJ,1,0.00%,1,0.00%,  499 ,0.00%
00002248401,Zepbound 7.5MG/0.5ML Solution Auto-injector,SOAJ,1,0.00%,1,0.00%,  499 ,0.00%
00002024304,#N/A,SOLN,1,0.00%,1,0.00%,  499 ,0.00%
67877051290,Atorvastatin Calcium 20MG Tablet,TABS,24,0.02%,10,0.02%,  499 ,0.00%
00527466737,Lisdexamfetamine Dimesylate 70MG Capsule,CAPS,2,0.00%,2,0.00%,  498 ,0.00%
70165000530,Adzenys XR-ODT 3.1MG Tablet Extended Release Disintegrating,TBED,1,0.00%,1,0.00%,  498 ,0.00%
00527411837,Propranolol HCl ER 120MG Capsule Extended Release 24 Hour,CP24,5,0.00%,2,0.00%,  498 ,0.00%
51991091333,Foltanx RF 3-90.314-2-35MG Capsule,CAPS,5,0.00%,1,0.00%,  497 ,0.00%
50228018001,Gabapentin 300MG Capsule,CAPS,18,0.02%,9,0.02%,  497 ,0.00%
68382031818,Minocycline HCl 100MG Capsule,CAPS,19,0.02%,6,0.01%,  496 ,0.00%
43975028210,Amphetamine-Dextroamphet ER 30MG Capsule Extended Release 24 Hour,CP24,11,0.01%,11,0.02%,  495 ,0.00%
13107015690,PARoxetine HCl 30MG Tablet,TABS,18,0.02%,6,0.01%,  495 ,0.00%
27241016430,DULoxetine HCl 40MG Capsule Delayed Release Particles,CPEP,2,0.00%,1,0.00%,  494 ,0.00%
43547031409,Valsartan-hydroCHLOROthiazide 320-12.5MG Tablet,TABS,15,0.01%,6,0.01%,  494 ,0.00%
29300034905,Allopurinol 100MG Tablet,TABS,22,0.02%,17,0.03%,  494 ,0.00%
68180098430,Budesonide 0.5MG/2ML Suspension,SUSP,5,0.00%,4,0.01%,  494 ,0.00%
33342030111,Eszopiclone 3MG Tablet,TABS,23,0.02%,10,0.02%,  493 ,0.00%
81952012424,Enoxaparin Sodium 40MG/0.4ML Solution Prefilled Syringe,SOSY,6,0.01%,5,0.01%,  492 ,0.00%
00093005301,busPIRone HCl 5MG Tablet,TABS,23,0.02%,15,0.03%,  492 ,0.00%
31722001810,Famotidine 40MG Tablet,TABS,34,0.03%,21,0.04%,  491 ,0.00%
65862030612,FLUoxetine HCl 20MG/5ML Solution,SOLN,5,0.00%,3,0.01%,  491 ,0.00%
65862078490,Esomeprazole Magnesium 40MG Capsule Delayed Release,CPDR,13,0.01%,4,0.01%,  491 ,0.00%
16714020030,Ondansetron 4MG Tablet Disintegrating,TBDP,29,0.03%,18,0.03%,  490 ,0.00%
13668033101,traZODone HCl 100MG Tablet,TABS,15,0.01%,10,0.02%,  490 ,0.00%
71376020403,Jornay PM 80MG Capsule Extended Release 24 Hour,CP24,1,0.00%,1,0.00%,  490 ,0.00%
70954000520,Oxybutynin Chloride 5MG Tablet,TABS,13,0.01%,7,0.01%,  490 ,0.00%
00093719801,FLUoxetine HCl 40MG Capsule,CAPS,12,0.01%,9,0.02%,  490 ,0.00%
72205017072,Acyclovir 200MG/5ML Suspension,SUSP,2,0.00%,1,0.00%,  490 ,0.00%
65162068090,Promethazine-DM 6.25-15MG/5ML Syrup,SYRP,42,0.04%,39,0.07%,  489 ,0.00%
68645058054,amLODIPine Besylate 10MG Tablet,TABS,43,0.04%,13,0.02%,  489 ,0.00%
70700027322,Estradiol Valerate 10MG/ML Oil,OIL,4,0.00%,1,0.00%,  489 ,0.00%
65862007701,Ciprofloxacin HCl 500MG Tablet,TABS,47,0.04%,40,0.07%,  488 ,0.00%
00527458037,Methylphenidate HCl ER (CD) 20MG Capsule Extended Release,CPCR,10,0.01%,3,0.01%,  488 ,0.00%
00378727253,Norethindrone 0.35MG Tablet,TABS,23,0.02%,12,0.02%,  488 ,0.00%
70377000913,Rosuvastatin Calcium 40MG Tablet,TABS,32,0.03%,13,0.02%,  487 ,0.00%
42135010000,Compact Space Chamber  Device,DEVI,7,0.01%,7,0.01%,  487 ,0.00%
00228331503,Doxepin HCl 3MG Tablet,TABS,2,0.00%,2,0.00%,  487 ,0.00%
00406012501,HYDROcodone-Acetaminophen 10-325MG Tablet,TABS,15,0.01%,9,0.02%,  486 ,0.00%
61314022705,Timolol Maleate 0.5% Solution,SOLN,26,0.02%,7,0.01%,  486 ,0.00%
00093342210,Cyclobenzaprine HCl 10MG Tablet,TABS,32,0.03%,19,0.03%,  486 ,0.00%
52817036200,Metoprolol Tartrate 100MG Tablet,TABS,33,0.03%,8,0.01%,  486 ,0.00%
71335021202,Pantoprazole Sodium 40MG Tablet Delayed Release,TBEC,26,0.02%,21,0.04%,  485 ,0.00%
42806050301,Ursodiol 300MG Capsule,CAPS,4,0.00%,3,0.01%,  485 ,0.00%
43547043109,Fenofibrate 145MG Tablet,TABS,22,0.02%,12,0.02%,  484 ,0.00%
60842002302,Auvi-Q 0.3MG/0.3ML Solution Auto-injector,SOAJ,1,0.00%,1,0.00%,  484 ,0.00%
13668059181,Aprepitant 40MG Capsule,CAPS,1,0.00%,1,0.00%,  484 ,0.00%
47426040110,Aponvie 32MG/4.4ML Emulsion,EMUL,1,0.00%,1,0.00%,  483 ,0.00%
60505003306,Pentoxifylline ER 400MG Tablet Extended Release,TBCR,5,0.00%,2,0.00%,  483 ,0.00%
50228035490,Pregabalin 150MG Capsule,CAPS,15,0.01%,1,0.00%,  483 ,0.00%
00093416178,Amoxicillin 400MG/5ML Suspension Reconstituted,SUSR,25,0.02%,23,0.04%,  483 ,0.00%
57237011490,Alfuzosin HCl ER 10MG Tablet Extended Release 24 HR,TB24,28,0.02%,8,0.01%,  482 ,0.00%
57237009960,Cefdinir 300MG Capsule,CAPS,24,0.02%,22,0.04%,  482 ,0.00%
16714017403,Atorvastatin Calcium 20MG Tablet,TABS,38,0.03%,11,0.02%,  482 ,0.00%
72205000390,Rosuvastatin Calcium 10MG Tablet,TABS,24,0.02%,16,0.03%,  481 ,0.00%
24208050405,Vyzulta 0.024% Solution,SOLN,1,0.00%,1,0.00%,  481 ,0.00%
76204020030,Albuterol Sulfate (2.5 MG/3ML)0.083% Nebulization Solution,NEBU,14,0.01%,10,0.02%,  480 ,0.00%
16729008110,Naltrexone HCl 50MG Tablet,TABS,7,0.01%,4,0.01%,  480 ,0.00%
42192032701,NP Thyroid 15MG Tablet,TABS,10,0.01%,4,0.01%,  480 ,0.00%
59651018201,Methotrexate Sodium 2.5MG Tablet,TABS,9,0.01%,5,0.01%,  479 ,0.00%
50228014405,buPROPion HCl ER (XL) 150MG Tablet Extended Release 24 HR,TB24,19,0.02%,7,0.01%,  479 ,0.00%
00713063437,Mometasone Furoate 0.1% Cream,CREA,12,0.01%,11,0.02%,  479 ,0.00%
68382096506,Lurasidone HCl 20MG Tablet,TABS,12,0.01%,2,0.00%,  479 ,0.00%
70010014905,Butalbital-APAP-Caffeine 50-325-40MG Tablet,TABS,14,0.01%,8,0.01%,  478 ,0.00%
29300040101,Atenolol-Chlorthalidone 100-25MG Tablet,TABS,10,0.01%,4,0.01%,  478 ,0.00%
52817033050,Cyclobenzaprine HCl 5MG Tablet,TABS,23,0.02%,12,0.02%,  478 ,0.00%
65862066130,ARIPiprazole 2MG Tablet,TABS,10,0.01%,7,0.01%,  477 ,0.00%
70010006305,metFORMIN HCl 500MG Tablet,TABS,45,0.04%,24,0.04%,  477 ,0.00%
65162099508,Dotti 0.075MG/24HR Patch Twice Weekly,PTTW,6,0.01%,3,0.01%,  477 ,0.00%
00527076237,Amphetamine-Dextroamphetamine 10MG Tablet,TABS,15,0.01%,10,0.02%,  477 ,0.00%
16714061105,Sertraline HCl 25MG Tablet,TABS,19,0.02%,7,0.01%,  477 ,0.00%
59651072299,clonazePAM 0.5MG Tablet,TABS,28,0.02%,11,0.02%,  476 ,0.00%
72578009721,tiZANidine HCl 4MG Tablet,TABS,25,0.02%,12,0.02%,  476 ,0.00%
00115149001,Amphetamine-Dextroamphet ER 25MG Capsule Extended Release 24 Hour,CP24,11,0.01%,6,0.01%,  475 ,0.00%
31722089901,Colchicine 0.6MG Tablet,TABS,19,0.02%,9,0.02%,  475 ,0.00%
51285012570,Loestrin Fe 1/20 1-20MG-MCG Tablet,TABS,8,0.01%,2,0.00%,  475 ,0.00%
00037605093,Edluar 5MG Tablet Sublingual,SUBL,1,0.00%,1,0.00%,  475 ,0.00%
13668026801,carBAMazepine 200MG Tablet,TABS,6,0.01%,1,0.00%,  474 ,0.00%
08489831010,Droplet Pen Needles 31G X 5 MM Miscellaneous,MISC,8,0.01%,2,0.00%,  474 ,0.00%
24979024806,buPROPion HCl ER (XL) 450MG Tablet Extended Release 24 HR,TB24,1,0.00%,1,0.00%,  473 ,0.00%
00338004941,Sodium Chloride 0.9% Solution,SOLN,8,0.01%,3,0.01%,  471 ,0.00%
68682080045,Tretinoin 0.05% Gel,GEL,4,0.00%,2,0.00%,  471 ,0.00%
27241013909,Oseltamivir Phosphate 6MG/ML Suspension Reconstituted,SUSR,8,0.01%,8,0.01%,  471 ,0.00%
65862049101,QUEtiapine Fumarate 100MG Tablet,TABS,12,0.01%,3,0.01%,  471 ,0.00%
27241005208,ARIPiprazole 5MG Tablet,TABS,20,0.02%,9,0.02%,  470 ,0.00%
43547042010,Lisinopril-hydroCHLOROthiazide 10-12.5MG Tablet,TABS,17,0.01%,7,0.01%,  469 ,0.00%
68308074808,#N/A,INST,2,0.00%,1,0.00%,  469 ,0.00%
50742065828,Estradiol-Norethindrone Acet 0.5-0.1MG Tablet,TABS,4,0.00%,1,0.00%,  469 ,0.00%
68180096503,Levothyroxine Sodium 25MCG Tablet,TABS,30,0.03%,14,0.02%,  468 ,0.00%
76045010520,Ketorolac Tromethamine 60MG/2ML Solution,SOLN,8,0.01%,1,0.00%,  468 ,0.00%
24208048510,Dorzolamide HCl 2% Solution,SOLN,11,0.01%,3,0.01%,  468 ,0.00%
33342008841,Rizatriptan Benzoate 10MG Tablet,TABS,22,0.02%,8,0.01%,  468 ,0.00%
16714043901,Nitrofurantoin Monohyd Macro 100MG Capsule,CAPS,13,0.01%,10,0.02%,  467 ,0.00%
29300014801,QUEtiapine Fumarate 50MG Tablet,TABS,12,0.01%,7,0.01%,  467 ,0.00%
31722023101,Dexmethylphenidate HCl ER 15MG Capsule Extended Release 24 Hour,CP24,10,0.01%,4,0.01%,  467 ,0.00%
72205001690,Pregabalin 200MG Capsule,CAPS,25,0.02%,5,0.01%,  467 ,0.00%
64980021101,Oxybutynin Chloride ER 15MG Tablet Extended Release 24 HR,TB24,9,0.01%,3,0.01%,  467 ,0.00%
00456045701,Armour Thyroid 15MG Tablet,TABS,8,0.01%,3,0.01%,  467 ,0.00%
00555902542,Junel 1/20 1-20MG-MCG Tablet,TABS,10,0.01%,4,0.01%,  466 ,0.00%
51991031190,Desvenlafaxine Succinate ER 50MG Tablet Extended Release 24 HR,TB24,12,0.01%,6,0.01%,  466 ,0.00%
49483070210,FLUoxetine HCl 20MG Capsule,CAPS,17,0.01%,13,0.02%,  466 ,0.00%
50111056101,traZODone HCl 100MG Tablet,TABS,17,0.01%,9,0.02%,  465 ,0.00%
70710116801,Atenolol-Chlorthalidone 100-25MG Tablet,TABS,9,0.01%,3,0.01%,  465 ,0.00%
00093321205,clonazePAM 1MG Tablet,TABS,28,0.02%,13,0.02%,  464 ,0.00%
00054458111,Mercaptopurine 50MG Tablet,TABS,3,0.00%,2,0.00%,  464 ,0.00%
23155075705,Sertraline HCl 25MG Tablet,TABS,11,0.01%,4,0.01%,  464 ,0.00%
72205001590,Pregabalin 150MG Capsule,CAPS,19,0.02%,8,0.01%,  463 ,0.00%
70700014535,Estradiol 1MG/GM Gel,GEL,1,0.00%,1,0.00%,  463 ,0.00%
64850055501,Lisdexamfetamine Dimesylate 60MG Capsule,CAPS,3,0.00%,2,0.00%,  463 ,0.00%
00574110404,Pseudoeph-Bromphen-DM 30-2-10MG/5ML Syrup,SYRP,22,0.02%,22,0.04%,  462 ,0.00%
33342005210,Losartan Potassium-HCTZ 100-25MG Tablet,TABS,26,0.02%,10,0.02%,  461 ,0.00%
31722023301,Dexmethylphenidate HCl ER 25MG Capsule Extended Release 24 Hour,CP24,5,0.00%,3,0.01%,  460 ,0.00%
00781236201,Methylphenidate HCl ER (LA) 20MG Capsule Extended Release 24 Hour,CP24,6,0.01%,4,0.01%,  460 ,0.00%
16571011550,hydrOXYzine HCl 50MG Tablet,TABS,20,0.02%,14,0.02%,  460 ,0.00%
65862020299,Losartan Potassium 50MG Tablet,TABS,26,0.02%,17,0.03%,  459 ,0.00%
70954000510,Oxybutynin Chloride 5MG Tablet,TABS,20,0.02%,6,0.01%,  459 ,0.00%
73562011501,Zenpep 5000-24000UNIT Capsule Delayed Release Particles,CPEP,1,0.00%,1,0.00%,  459 ,0.00%
70756024912,Atorvastatin Calcium 40MG Tablet,TABS,26,0.02%,19,0.03%,  459 ,0.00%
55150027801,Testosterone Cypionate 200MG/ML Solution,SOLN,3,0.00%,3,0.01%,  458 ,0.00%
55111025660,Ziprasidone HCl 20MG Capsule,CAPS,5,0.00%,2,0.00%,  457 ,0.00%
45963067711,Metoprolol Succinate ER 100MG Tablet Extended Release 24 HR,TB24,16,0.01%,6,0.01%,  457 ,0.00%
69238161503,Ofloxacin 0.3% Solution,SOLN,20,0.02%,20,0.03%,  456 ,0.00%
00093720110,Pravastatin Sodium 20MG Tablet,TABS,31,0.03%,9,0.02%,  455 ,0.00%
08290328418,"BD Insulin Syringe U/F 31G X 5/16""1 ML Miscellaneous",MISC,7,0.01%,2,0.00%,  455 ,0.00%
65862067699,ALPRAZolam 0.25MG Tablet,TABS,33,0.03%,11,0.02%,  455 ,0.00%
72241004011,glyBURIDE 5MG Tablet,TABS,25,0.02%,5,0.01%,  454 ,0.00%
00781185220,Amoxicillin-Pot Clavulanate 875-125MG Tablet,TABS,16,0.01%,15,0.03%,  454 ,0.00%
00832830330,ISOtretinoin 30MG Capsule,CAPS,2,0.00%,1,0.00%,  454 ,0.00%
70954005930,predniSONE 10MG (21) Tablet Therapy Pack,TBPK,20,0.02%,19,0.03%,  453 ,0.00%
65862022701,lamoTRIgine 25MG Tablet,TABS,22,0.02%,7,0.01%,  452 ,0.00%
52817033210,Cyclobenzaprine HCl 10MG Tablet,TABS,30,0.03%,21,0.04%,  452 ,0.00%
16714095001,Amphetamine-Dextroamphetamine 10MG Tablet,TABS,9,0.01%,5,0.01%,  452 ,0.00%
00093506001,hydrOXYzine HCl 10MG Tablet,TABS,30,0.03%,12,0.02%,  452 ,0.00%
00781601470,Brinzolamide 1% Suspension,SUSP,5,0.00%,1,0.00%,  451 ,0.00%
00378018105,Allopurinol 300MG Tablet,TABS,17,0.01%,7,0.01%,  451 ,0.00%
68462053435,Tacrolimus 0.1% Ointment,OINT,4,0.00%,4,0.01%,  450 ,0.00%
68180078004,Zolpidem Tartrate ER 12.5MG Tablet Extended Release,TBCR,19,0.02%,7,0.01%,  450 ,0.00%
43598057930,Buprenorphine HCl-Naloxone HCl 2-0.5MG Film,FILM,1,0.00%,1,0.00%,  450 ,0.00%
00832605311,Dicyclomine HCl 10MG Capsule,CAPS,18,0.02%,9,0.02%,  450 ,0.00%
31722088530,Rosuvastatin Calcium 40MG Tablet,TABS,24,0.02%,9,0.02%,  450 ,0.00%
00173069700,"Advair Diskus 500-50MCG/ACT Aerosol Powder, Breath Activated",AEPB,2,0.00%,1,0.00%,  449 ,0.00%
70377002813,Atorvastatin Calcium 20MG Tablet,TABS,22,0.02%,20,0.03%,  449 ,0.00%
70700012387,Jaimiess 0.15-0.03 &0.01MG Tablet,TABS,9,0.01%,3,0.01%,  449 ,0.00%
67877044690,Olmesartan Medoxomil 20MG Tablet,TABS,14,0.01%,6,0.01%,  449 ,0.00%
00781210201,Tacrolimus 0.5MG Capsule,CAPS,11,0.01%,2,0.00%,  448 ,0.00%
51672411806,Fluorouracil 5% Cream,CREA,9,0.01%,9,0.02%,  447 ,0.00%
00074518219,Synthroid 75MCG Tablet,TABS,9,0.01%,3,0.01%,  447 ,0.00%
70700011385,Isibloom 0.15-30MG-MCG Tablet,TABS,25,0.02%,7,0.01%,  447 ,0.00%
65162067684,Azelastine HCl 137MCG/SPRAY Solution,SOLN,17,0.01%,17,0.03%,  447 ,0.00%
65862016999,Atenolol 50MG Tablet,TABS,22,0.02%,9,0.02%,  446 ,0.00%
42806036201,Doxycycline Hyclate 20MG Tablet,TABS,18,0.02%,4,0.01%,  446 ,0.00%
62332002991,Losartan Potassium 100MG Tablet,TABS,18,0.02%,12,0.02%,  446 ,0.00%
23155060601,Glycopyrrolate 1MG Tablet,TABS,9,0.01%,3,0.01%,  445 ,0.00%
45802085345,Adapalene-Benzoyl Peroxide 0.3-2.5% Gel,GEL,3,0.00%,3,0.01%,  445 ,0.00%
24208091055,Erythromycin 5MG/GM Ointment,OINT,30,0.03%,29,0.05%,  445 ,0.00%
71858015505,Tirosint-SOL 175MCG/ML Solution,SOLN,1,0.00%,1,0.00%,  445 ,0.00%
00378395105,Atorvastatin Calcium 20MG Tablet,TABS,25,0.02%,13,0.02%,  445 ,0.00%
21922000201,Clindamycin Phosphate 1% Solution,SOLN,8,0.01%,5,0.01%,  444 ,0.00%
00378967130,Ipratropium-Albuterol 0.5-2.5 (3)MG/3ML Solution,SOLN,9,0.01%,5,0.01%,  444 ,0.00%
00228278111,Propranolol HCl ER 160MG Capsule Extended Release 24 Hour,CP24,9,0.01%,3,0.01%,  444 ,0.00%
42571036299,Clobetasol Propionate 0.05% Solution,SOLN,11,0.01%,9,0.02%,  444 ,0.00%
72205014299,Losartan Potassium 50MG Tablet,TABS,26,0.02%,14,0.02%,  444 ,0.00%
23155072301,Labetalol HCl 100MG Tablet,TABS,14,0.01%,6,0.01%,  444 ,0.00%
23155086401,Griseofulvin Ultramicrosize 250MG Tablet,TABS,2,0.00%,2,0.00%,  444 ,0.00%
43547042509,Losartan Potassium-HCTZ 100-12.5MG Tablet,TABS,15,0.01%,7,0.01%,  444 ,0.00%
00074929619,Synthroid 112MCG Tablet,TABS,7,0.01%,3,0.01%,  443 ,0.00%
64980051405,Timolol Maleate 0.5% Solution,SOLN,23,0.02%,4,0.01%,  443 ,0.00%
68001059308,Escitalopram Oxalate 20MG Tablet,TABS,24,0.02%,5,0.01%,  443 ,0.00%
43598073330,ARIPiprazole 10MG Tablet Disintegrating,TBDP,1,0.00%,1,0.00%,  443 ,0.00%
68682099398,dilTIAZem HCl ER Coated Beads 120MG Capsule Extended Release 24 Hour,CP24,14,0.01%,6,0.01%,  443 ,0.00%
24478010901,Dyanavel XR 15MG Tablet Chewable Extended Release,TBCR,1,0.00%,1,0.00%,  443 ,0.00%
31722014605,Sertraline HCl 50MG Tablet,TABS,10,0.01%,7,0.01%,  442 ,0.00%
45802013970,metroNIDAZOLE 0.75% Gel,GEL,9,0.01%,9,0.02%,  442 ,0.00%
68462050481,Hailey 1.5/30 1.5-30MG-MCG Tablet,TABS,10,0.01%,4,0.01%,  441 ,0.00%
00006033530,Belsomra 20MG Tablet,TABS,1,0.00%,1,0.00%,  441 ,0.00%
00006003330,Belsomra 10MG Tablet,TABS,1,0.00%,1,0.00%,  441 ,0.00%
62037072501,Methylphenidate HCl ER (OSM) 18MG Tablet Extended Release,TBCR,10,0.01%,5,0.01%,  441 ,0.00%
71335033101,buPROPion HCl ER (XL) 300MG Tablet Extended Release 24 HR,TB24,18,0.02%,8,0.01%,  441 ,0.00%
60505015801,buPROPion HCl 75MG Tablet,TABS,17,0.01%,10,0.02%,  441 ,0.00%
70756021590,Fenofibrate 160MG Tablet,TABS,19,0.02%,6,0.01%,  441 ,0.00%
23155083501,hydrALAZINE HCl 100MG Tablet,TABS,13,0.01%,5,0.01%,  440 ,0.00%
00406183001,Methylphenidate HCl ER (CD) 30MG Capsule Extended Release,CPCR,7,0.01%,4,0.01%,  440 ,0.00%
31722055190,Levocetirizine Dihydrochloride 5MG Tablet,TABS,42,0.04%,15,0.03%,  440 ,0.00%
68788968303,Atorvastatin Calcium 20MG Tablet,TABS,27,0.02%,21,0.04%,  440 ,0.00%
50090636400,Dexcom G6 Sensor  Miscellaneous,MISC,3,0.00%,2,0.00%,  440 ,0.00%
16571011201,Hydroxychloroquine Sulfate 200MG Tablet,TABS,6,0.01%,4,0.01%,  440 ,0.00%
00378461926,Estradiol 0.025MG/24HR Patch Twice Weekly,PTTW,3,0.00%,2,0.00%,  439 ,0.00%
70710112307,Doxycycline Monohydrate 100MG Tablet,TABS,16,0.01%,16,0.03%,  439 ,0.00%
55111032101,Glimepiride 2MG Tablet,TABS,25,0.02%,14,0.02%,  439 ,0.00%
57237007730,Ondansetron 4MG Tablet Disintegrating,TBDP,15,0.01%,14,0.02%,  439 ,0.00%
50742026103,NIFEdipine ER Osmotic Release 60MG Tablet Extended Release 24 HR,TB24,17,0.01%,1,0.00%,  439 ,0.00%
00378632377,Valsartan-hydroCHLOROthiazide 160-25MG Tablet,TABS,28,0.02%,7,0.01%,  439 ,0.00%
00378728053,Norethindrone Acet-Ethinyl Est 1-20MG-MCG Tablet,TABS,13,0.01%,3,0.01%,  439 ,0.00%
00517037405,ProvayBlue 50MG/10ML Solution,SOLN,1,0.00%,1,0.00%,  439 ,0.00%
27241012502,Ranolazine ER 500MG Tablet Extended Release 12 HR,TB12,9,0.01%,4,0.01%,  438 ,0.00%
00406052201,oxyCODONE-Acetaminophen 7.5-325MG Tablet,TABS,17,0.01%,8,0.01%,  438 ,0.00%
13811009132,Estradiol 0.5MG/0.5GM Gel,GEL,2,0.00%,1,0.00%,  437 ,0.00%
81131038679,ReliOn Pen Needles 32G X 4 MM Miscellaneous,MISC,12,0.01%,5,0.01%,  437 ,0.00%
16571086209,buPROPion HCl ER (XL) 150MG Tablet Extended Release 24 HR,TB24,16,0.01%,3,0.01%,  437 ,0.00%
16729045715,Levothyroxine Sodium 200MCG Tablet,TABS,13,0.01%,5,0.01%,  437 ,0.00%
69238111601,busPIRone HCl 7.5MG Tablet,TABS,10,0.01%,5,0.01%,  436 ,0.00%
43975028010,Amphetamine-Dextroamphet ER 20MG Capsule Extended Release 24 Hour,CP24,13,0.01%,10,0.02%,  436 ,0.00%
50742050504,Scopolamine 1MG/3DAYS Patch 72 HR,PT72,12,0.01%,11,0.02%,  436 ,0.00%
16571011350,hydrOXYzine HCl 10MG Tablet,TABS,24,0.02%,12,0.02%,  435 ,0.00%
00093505910,Atorvastatin Calcium 20MG Tablet,TABS,25,0.02%,14,0.02%,  435 ,0.00%
29300012410,Meloxicam 7.5MG Tablet,TABS,28,0.02%,15,0.03%,  435 ,0.00%
68462029201,Verapamil HCl ER 120MG Tablet Extended Release,TBCR,17,0.01%,5,0.01%,  434 ,0.00%
00469260207,Myrbetriq 50MG Tablet Extended Release 24 HR,TB24,1,0.00%,1,0.00%,  434 ,0.00%
51862056406,Low-Ogestrel 0.3-30MG-MCG Tablet,TABS,12,0.01%,4,0.01%,  434 ,0.00%
72205003772,levETIRAcetam 100MG/ML Solution,SOLN,4,0.00%,2,0.00%,  433 ,0.00%
31722001801,Famotidine 40MG Tablet,TABS,32,0.03%,14,0.02%,  433 ,0.00%
72205002390,Atorvastatin Calcium 20MG Tablet,TABS,24,0.02%,15,0.03%,  432 ,0.00%
59746000103,methylPREDNISolone 4MG Tablet Therapy Pack,TBPK,55,0.05%,53,0.09%,  432 ,0.00%
00527411737,Propranolol HCl ER 80MG Capsule Extended Release 24 Hour,CP24,17,0.01%,6,0.01%,  432 ,0.00%
68462043790,Olmesartan Medoxomil 20MG Tablet,TABS,27,0.02%,12,0.02%,  432 ,0.00%
31722014705,Sertraline HCl 100MG Tablet,TABS,13,0.01%,8,0.01%,  432 ,0.00%
47781066290,Levothyroxine Sodium 150MCG Tablet,TABS,25,0.02%,10,0.02%,  431 ,0.00%
16729013616,clonazePAM 0.5MG Tablet,TABS,12,0.01%,5,0.01%,  431 ,0.00%
65862055990,Pantoprazole Sodium 20MG Tablet Delayed Release,TBEC,27,0.02%,11,0.02%,  431 ,0.00%
72578009621,tiZANidine HCl 2MG Tablet,TABS,17,0.01%,13,0.02%,  431 ,0.00%
16714019501,lamoTRIgine 100MG Tablet,TABS,3,0.00%,1,0.00%,  430 ,0.00%
00591405289,Ivermectin 1% Cream,CREA,4,0.00%,3,0.01%,  430 ,0.00%
55111015910,Omeprazole 40MG Capsule Delayed Release,CPDR,24,0.02%,13,0.02%,  430 ,0.00%
00093719805,FLUoxetine HCl 40MG Capsule,CAPS,15,0.01%,7,0.01%,  429 ,0.00%
57237007550,Ondansetron HCl 4MG Tablet,TABS,41,0.04%,29,0.05%,  428 ,0.00%
65862086001,Famotidine 40MG Tablet,TABS,25,0.02%,15,0.03%,  428 ,0.00%
51862061201,Methylphenidate HCl ER (LA) 40MG Capsule Extended Release 24 Hour,CP24,3,0.00%,2,0.00%,  428 ,0.00%
60505056001,Ofloxacin 0.3% Solution,SOLN,12,0.01%,10,0.02%,  426 ,0.00%
05244002352,"Extended Infusion Set 23""/9mm  Miscellaneous",MISC,1,0.00%,1,0.00%,  426 ,0.00%
00456046401,Armour Thyroid 300MG Tablet,TABS,2,0.00%,1,0.00%,  425 ,0.00%
50458058801,Concerta 27MG Tablet Extended Release,TBCR,1,0.00%,1,0.00%,  425 ,0.00%
68382014114,Topiramate 200MG Tablet,TABS,19,0.02%,5,0.01%,  425 ,0.00%
00597036055,Pradaxa 150MG Capsule,CAPS,1,0.00%,1,0.00%,  425 ,0.00%
65862062690,Rizatriptan Benzoate 10MG Tablet Disintegrating,TBDP,21,0.02%,7,0.01%,  425 ,0.00%
