2025-07-01 20:58:48,418 - ERROR - ❌ Failed to get data for Fluconazole 150MG Tablet in 43032 (Total failures: 1, Consecutive: 1)
2025-07-09 08:43:05,019 - ERROR - ❌ Failed to get data for Tamsulosin HCl 0.4MG Capsule in 33445 (Total failures: 2, Consecutive: 2)
2025-07-09 08:43:09,474 - ERROR - ❌ Failed to get data for Tamsulosin HCl 0.4MG Capsule in 33446 (Total failures: 3, Consecutive: 3)
2025-07-09 08:43:13,946 - ERROR - ❌ Failed to get data for Tamsulosin HCl 0.4MG Capsule in 33449 (Total failures: 4, Consecutive: 4)
2025-07-09 08:43:18,415 - ERROR - ❌ Failed to get data for Tamsulosin HCl 0.4MG Capsule in 33455 (Total failures: 5, Consecutive: 5)
2025-07-09 08:43:22,869 - ERROR - ❌ Failed to get data for Tamsulosin HCl 0.4MG Capsule in 33458 (Total failures: 6, Consecutive: 6)
2025-07-09 08:43:27,321 - ERROR - ❌ Failed to get data for Tamsulosin HCl 0.4MG Capsule in 33460 (Total failures: 7, Consecutive: 7)
2025-07-09 08:43:31,793 - ERROR - ❌ Failed to get data for Tamsulosin HCl 0.4MG Capsule in 33461 (Total failures: 8, Consecutive: 8)
2025-07-09 08:43:36,315 - ERROR - ❌ Failed to get data for Tamsulosin HCl 0.4MG Capsule in 33462 (Total failures: 9, Consecutive: 9)
2025-07-09 08:43:40,810 - ERROR - ❌ Failed to get data for Tamsulosin HCl 0.4MG Capsule in 33463 (Total failures: 10, Consecutive: 10)
2025-07-09 11:24:20,328 - ERROR - ❌ Failed to get data for HYDROcodone-Acetaminophen 5-325MG Tablet in 34481 (Total failures: 1, Consecutive: 1)
2025-07-09 11:24:24,774 - ERROR - ❌ Failed to get data for HYDROcodone-Acetaminophen 5-325MG Tablet in 34482 (Total failures: 2, Consecutive: 2)
2025-07-09 11:39:51,156 - ERROR - ❌ Failed to get data for HYDROcodone-Acetaminophen 5-325MG Tablet in 34484 (Total failures: 3, Consecutive: 3)
2025-07-09 11:39:55,600 - ERROR - ❌ Failed to get data for HYDROcodone-Acetaminophen 5-325MG Tablet in 34488 (Total failures: 4, Consecutive: 4)
2025-07-09 11:55:23,740 - ERROR - ❌ Failed to get data for HYDROcodone-Acetaminophen 5-325MG Tablet in 34491 (Total failures: 5, Consecutive: 5)
2025-07-09 11:55:28,262 - ERROR - ❌ Failed to get data for HYDROcodone-Acetaminophen 5-325MG Tablet in 34601 (Total failures: 6, Consecutive: 6)
2025-07-09 11:55:32,688 - ERROR - ❌ Failed to get data for HYDROcodone-Acetaminophen 5-325MG Tablet in 34602 (Total failures: 7, Consecutive: 7)
2025-07-09 12:12:17,818 - ERROR - ❌ Failed to get data for HYDROcodone-Acetaminophen 5-325MG Tablet in 34604 (Total failures: 8, Consecutive: 8)
2025-07-09 12:12:22,245 - ERROR - ❌ Failed to get data for HYDROcodone-Acetaminophen 5-325MG Tablet in 34606 (Total failures: 9, Consecutive: 9)
2025-07-09 12:27:30,802 - ERROR - ❌ Failed to get data for HYDROcodone-Acetaminophen 5-325MG Tablet in 34607 (Total failures: 10, Consecutive: 10)
